SA,SAC,cnt,SA_rank,SAC_rank
40_F170A,40_F170A_6,210,3,11
40_F170A,40_F170A_8,210,3,12
40_F170A,40_F170A_5,210,3,22
45_M180D,45_M180D_6,270,4,6
45_M180D,45_M180D_4,270,4,23
45_M180D,45_M180D_5,270,4,66
25_M180A,25_M180A_2,465,6,3
25_M180A,25_M180A_5,465,6,111
25_M180A,25_M180A_1,465,6,168
13_F170A,13_F170A_6,360,8,9
13_F170A,13_F170A_1,345,8,55
13_F170A,13_F170A_8,345,8,94
60_M170B,60_M170B_4,405,9,27
60_M170B,60_M170B_3,298,9,124
60_M170B,60_M170B_7,298,9,175
48_M180D,48_M180D_6,435,10,14
48_M180D,48_M180D_4,268,10,71
48_M180D,48_M180D_8,268,10,230
44_M160A,44_M160A_8,165,11,37
44_M160A,44_M160A_7,285,11,41
44_M160A,44_M160A_2,165,11,214
48_F160C,48_F160C_2,930,12,32
48_F160C,48_F160C_3,870,12,62
48_F160C,48_F160C_8,930,12,77
14_M160B,14_M160B_6,405,13,25
14_M160B,14_M160B_7,405,13,101
14_M160B,14_M160B_4,405,13,115
33_F170C,33_F170C_8,420,14,24
33_F170C,33_F170C_6,420,14,59
33_F170C,33_F170C_1,420,14,198
02_M160B,02_M160B_8,405,15,17
02_M160B,02_M160B_6,405,15,44
02_M160B,02_M160B_4,405,15,315
61_M180D,61_M180D_6,208,16,21
61_M180D,61_M180D_3,208,16,79
61_M180D,61_M180D_8,435,16,106
70_F150C,70_F150C_6,900,17,81
70_F150C,70_F150C_4,900,17,84
70_F150C,70_F150C_2,900,17,102
49_F150C,49_F150C_2,840,18,30
49_F150C,49_F150C_4,840,18,43
49_F150C,49_F150C_3,658,18,97
33_F160B,33_F160B_8,509,19,1
33_F160B,33_F160B_2,509,19,704
33_F160B,33_F160B_1,509,19,961
44_F160D,44_F160D_5,540,20,28
44_F160D,44_F160D_8,540,20,253
44_F160D,44_F160D_4,540,20,297
45_M170D,45_M170D_8,570,21,36
45_M170D,45_M170D_4,570,21,109
45_M170D,45_M170D_6,570,21,247
15_F150C,15_F150C_4,900,22,8
15_F150C,15_F150C_2,930,22,58
15_F150C,15_F150C_3,900,22,70
13_F150B,13_F150B_2,268,23,83
13_F150B,13_F150B_3,268,23,88
13_F150B,13_F150B_8,268,23,417
53_F160B,53_F160B_4,690,25,105
53_F160B,53_F160B_2,690,25,118
53_F160B,53_F160B_6,690,25,174
60_M160C,60_M160C_4,375,26,13
60_M160C,60_M160C_7,375,26,250
60_M160C,60_M160C_6,375,26,277
13_M170D,13_M170D_2,328,27,48
13_M170D,13_M170D_4,328,27,65
13_M170D,13_M170D_3,328,27,1025
15_M170D,15_M170D_2,238,29,68
15_M170D,15_M170D_6,238,29,93
15_M170D,15_M170D_8,238,29,524
70_M160C,70_M160C_8,390,30,20
70_M160C,70_M160C_1,390,30,342
70_M160C,70_M160C_5,405,30,500
61_M180B,61_M180B_4,390,35,39
61_M180B,61_M180B_6,420,35,73
61_M180B,61_M180B_5,420,35,144
17_M160B,17_M160B_8,405,36,16
17_M160B,17_M160B_6,405,36,40
17_M160B,17_M160B_2,405,36,438
48_F160D,48_F160D_2,899,37,78
48_F160D,48_F160D_1,899,37,165
48_F160D,48_F160D_4,899,37,170
48_M160B,48_M160B_3,405,40,75
48_M160B,48_M160B_4,420,40,204
48_M160B,48_M160B_5,405,40,664
65_M170D,65_M170D_5,555,41,155
65_M170D,65_M170D_3,555,41,212
65_M170D,65_M170D_6,555,41,356
32_M180B,32_M180B_6,420,43,148
32_M180B,32_M180B_5,420,43,207
32_M180B,32_M180B_8,390,43,435
53_F150D,53_F150D_3,1050,44,120
53_F150D,53_F150D_2,1050,44,164
53_F150D,53_F150D_5,1050,44,659
03_M160B,03_M160B_8,405,45,26
